product_id	product_name	sku	category_name	brand_name	price	compare_price	inventory_quantity	is_active	is_featured	created_at
1	iPhone 15 Pro	IPH15PRO-128	Smartphones	Apple	999.00	1099.00	50	true	true	2024-01-01 10:00:00
2	Samsung Galaxy S24	SGS24-256	Smartphones	Samsung	799.00	899.00	75	true	true	2024-01-02 11:30:00
3	MacBook Pro 16"	MBP16-M3	Laptops	Apple	2499.00	2699.00	25	true	true	2024-01-03 09:15:00
4	Samsung Galaxy Book4	SGB4-512	Laptops	Samsung	1299.00	1499.00	40	true	false	2024-01-04 14:20:00
5	Sony WH-1000XM5	SONY-WH1000XM5	Audio	Sony	399.00	449.00	100	true	true	2024-01-05 16:45:00
6	Nike Air Max 270	NIKE-AM270-BLK	Men's Clothing	Nike	150.00	180.00	200	true	false	2024-01-06 08:30:00
7	Adidas Ultraboost 22	ADIDAS-UB22-WHT	Men's Clothing	Adidas	180.00	200.00	150	true	true	2024-01-07 13:15:00
8	iPhone 14	IPH14-128	Smartphones	Apple	699.00	799.00	60	true	false	2024-01-08 15:30:00
9	Samsung Galaxy S23	SGS23-256	Smartphones	Samsung	599.00	699.00	80	true	false	2024-01-09 12:00:00
10	MacBook Air 13"	MBA13-M2	Laptops	Apple	1199.00	1299.00	35	true	false	2024-01-10 17:45:00
11	Dell XPS 13	DELL-XPS13	Laptops	Dell	999.00	1199.00	45	true	false	2024-01-11 10:30:00
12	Sony WF-1000XM4	SONY-WF1000XM4	Audio	Sony	279.00	329.00	120	true	false	2024-01-12 14:15:00
13	AirPods Pro	APPLE-AIRPODSPRO	Audio	Apple	249.00	279.00	200	true	true	2024-01-13 11:45:00
14	Nike Air Force 1	NIKE-AF1-WHT	Men's Clothing	Nike	90.00	110.00	300	true	false	2024-01-14 16:20:00
15	Adidas Stan Smith	ADIDAS-STAN-WHT	Men's Clothing	Adidas	80.00	100.00	250	true	false	2024-01-15 09:30:00
16	iPhone 13	IPH13-128	Smartphones	Apple	599.00	699.00	70	true	false	2024-01-16 13:00:00
17	Samsung Galaxy A54	SGS-A54-128	Smartphones	Samsung	399.00	449.00	100	true	false	2024-01-17 15:15:00
18	MacBook Pro 14"	MBP14-M3	Laptops	Apple	1999.00	2199.00	20	true	true	2024-01-18 12:30:00
19	HP Spectre x360	HP-SPECTRE-13	Laptops	HP	1199.00	1399.00	30	true	false	2024-01-19 14:45:00
20	Sony WH-CH720N	SONY-WHCH720N	Audio	Sony	99.00	129.00	150	true	false	2024-01-20 10:15:00
